group_id,task,creativity,novelty,usefulness,team_size,pattern,final_idea
34428,PS3,0.1573426573426572,0.346153846153846,0.4545454545454545,3,Parallel Pathways,"Remove it from the dictionary, come up withan alternative word (e.g. apologies) and launch an advertising campaign encouraging people to use that word instead. Make a microphone that bleeps out the word sorry!"
36354,PS2,0.0719507502885725,0.1504424778761062,0.4782608695652174,6,Divergent–Convergent Funnel,Identify vulnerability and use tracking mechanisms through applications or websites to comabt said vulnerabilities. Introducing a system of checking availability and stock management.
35592,PS3,0.1682692307692307,0.4230769230769231,0.3977272727272727,6,Early Anchor & Deep Dive,Medical wristband designed to shock you when you are in an emotionally apologetic state.
36354,PS1,0.0775316455696202,0.125,0.620253164556962,6,Early Anchor & Deep Dive,"Introduce a reward system to reduce use of plastic. Introduce vending machines to facilitate easier recycling (plastic put into the system will automatically be recycled in return for a token of some sort- could recycle into something that has resale value or material appeal eg. collectable cards). This can be a solution to pre existing plastic stores, whilst authorities come up with alternatives to plastic."
35303,PS6,0.0062071917808219,0.015625,0.3972602739726027,3,Early Anchor & Deep Dive,change showerheads to include karaoke machines
35452,PS6,0.1048801369863014,0.1562500000000001,0.6712328767123288,3,Early Anchor & Deep Dive,Probing people to think about the benefits of singing in the shower and reminding them through creative advertisements on media platforms that showcase the statistics or testinomials supporting the idea of singing in the shower for 20minutes.
35524,PS1,0.0226793248945147,0.0416666666666666,0.5443037974683546,6,Early Anchor & Deep Dive,recycle plastic into fancy clothes
34428,PS1,0.030590717299578,0.0416666666666666,0.7341772151898736,3,Parallel Pathways,"Reuse existing plastic waste and instead of manufacturing more plastic products, use biodegradeable alternatives"
36321,PS3,0.0769230769230768,0.1538461538461537,0.5,6,Divergent–Convergent Funnel,use microphone to censor the word sorry
35323,PS6,0.1029537671232877,0.2031250000000001,0.5068493150684932,3,Parallel Pathways,Waterproof karoake set with LCD monitor so you can sing while in the shower. Would have a 20 minute timer. Could have an app to gamify this -- tracks whether you are singing using phone microphone and awards points based on how long you have been singing.
35452,PS5,0.0765306122448979,0.1428571428571429,0.5357142857142857,3,Early Anchor & Deep Dive,Collect feedback frequently from employees to understand their views on the organisation and why they may perhaps want to leave. Improve the organisation/salary or any particular aspect that the feedback points at.
34253,PS2,0.2031550596383224,0.2920353982300884,0.6956521739130437,3,Parallel Pathways,"Blockchain allows suppliers to transfer their manufacturing process, in regards to real time information and other necessary factors, to their clients. This would entail the idea that the sourcing process until the shipping will be stored in the blockchain, where information is absolutely accessible and transparent for all stakeholders.
 To supply the system with a more robust system, data analytics can be derived from the historical data that would include factors within the delivery time such as weather conditions, route, or even mode of transportation to help predict a more accurate supply chain."
35315,PS3,0.1223776223776223,0.5384615384615383,0.2272727272727272,6,Divergent–Convergent Funnel,"everyone wears earplugs and communicates by typing/writing or sign language only (try and keep a habit of not saying it, using alternatives like pardon)"
35452,PS4,0.1979166666666666,0.2499999999999999,0.7916666666666666,3,Parallel Pathways,Provide digital devices and internet to people in marginalised groups so that they can continue to learn remotely since teachers and schools may not be accessible or may be a scarce resource in comparison. Promote self directed learning through technology.
35323,PS5,0.0952380952380952,0.1904761904761904,0.5,3,Parallel Pathways,Provide company-sponsored access to mental health professionals and resources. Offer perks like vacation time or bonuses (ex. retain bonus) to retain employees who are considering leaving the company.
34663,PS6,0.1404109589041096,0.2500000000000001,0.5616438356164384,6,Parallel Pathways,"Karaoke bath - Introduce subsidised showers with karaoke machine, disco lights, speakers and sound proof walls"
35126,PS6,0.021404109589041,0.0390625,0.547945205479452,3,Early Anchor & Deep Dive,Upload videos of aesthetic cleaning with someone singing in the background.Try turn it into a trend through TikTok or social media
36284,PS6,0.0614297945205479,0.109375,0.5616438356164384,3,Sequential Replace,"Incorporate karaoke machine and sound system in showerhead + room - idea 1
 Create shower device that only produces hot water when you start singing and stops when you stop singing until you reach 20 minutes - idea 2
 

 Final: idea 2"
35229,PS6,0.3247003424657535,0.5781250000000001,0.5616438356164384,3,Early Anchor & Deep Dive,All showers are automatically locked the moment one steps in the shower. The person would have to sing for a total of 20 minutes while they shower in order to open the lock. Set a monthly shower requirement which everyone has to meet otherwise they will have to pay a penalty or perform a concert in public.
35852,PS3,0.1136363636363636,0.1923076923076923,0.5909090909090908,3,Parallel Pathways,Social propaganda on rephrasin sorries into some other words newer. Digital smartphone tracing the voices to get rewarded when they say the new word. Immigration control on english speakers.
35524,PS3,0.1988636363636363,0.4999999999999999,0.3977272727272727,6,Sequential Replace,"Use a voice recognition system to predict when people is trying to say the word ""Sorry"" and e.g. give them an electric shock when the first syllable of the word is detected so that the person cannot finish saying the word."
34785,PS4,0.0,1.0,0.0,6,Parallel Pathways,Abolish and criminalise education. Thus there is perfect equaility as no one is educated.
36449,PS3,0.0629370629370628,0.0769230769230768,0.8181818181818181,6,Early Anchor & Deep Dive,"This can be reduced by making use of synonyms of the word ""sorry"" or phrases to the sorry such as;
 my bad
 apologies"
36489,PS1,0.0611814345991561,0.0833333333333333,0.7341772151898736,6,Early Anchor & Deep Dive,the cost of the plastics can be made expensive through government legislation to dissuade purchase and encourage reuse .
36354,PS3,0.0891608391608391,0.1153846153846154,0.7727272727272727,6,Parallel Pathways,Ensuring awareness of 'sorry' as the cause of the pandemic. Use a different word: for instance 'apologies'. create incentive/reward to use the new word: marketing advertisement
35213,PS5,0.2857142857142857,0.3809523809523809,0.75,3,Sequential Replace,"Mandatory holiday trips sponsored by the company before anyone can leave the company. During the trip, the company will persaude and brainwash them into staying through bribing them such as gifts and rewards."
36255,PS6,0.1586044520547946,0.2031250000000001,0.7808219178082192,3,Divergent–Convergent Funnel,"If there is a way to have a sensitive shower system that only detect sound (you must sing) before water could be dropped. if you stop singing, the water will be stopped dropping, which means that you can't clean up the bubbles in your body. (at least you need to sing for 10 minutes)"
35126,PS5,0.3554421768707482,0.5238095238095238,0.6785714285714285,3,Divergent–Convergent Funnel,"Provide company accomodation/housing. Make sure the housing is to a livable, comfortable standard. If they leave the company they have to give up the house and move within their notice period."
35414,PS4,0.0669642857142857,0.3214285714285713,0.2083333333333333,3,Early Anchor & Deep Dive,"Collect all the funds spent on education and distribute them equally by building exactly the same school everywhere, have the exact same curriculum and hire teachers with exactly the same background. Also, make the education mandatory for everybody in the world at the exact same age."
35323,PS4,0.1264880952380952,0.1785714285714285,0.7083333333333334,3,Brainstorming without Evaluation,"Online, open-platform educational resources that are widely available paired with greater access to high-quality resources like school counselors at public schools. Encourage policymakers to prioritize equity in their decisions about the distribution of knowledge resources. Expansion of high-performing academic institutions to more international sites."
35213,PS6,0.113013698630137,0.2500000000000001,0.4520547945205479,3,Parallel Pathways,"Come up with a waterproof speakers and microphone with mulitple functions such as lighting and bubbles, similar to a diffuser. Furthermore, the music can be changed with a voice command system. The water pressure can also be altered by the strength of your voice."
36489,PS2,0.0288572527895344,0.0442477876106194,0.6521739130434783,6,Early Anchor & Deep Dive,We can collect some historical data and use this dataset to train models. These models can help us forecast the future trend. The forecast result can also be verified by the latest data.
36233,PS6,0.0448933782267115,0.1515151515151515,0.2962962962962963,3,Early Anchor & Deep Dive,
35315,PS2,0.0450173143516737,0.1150442477876106,0.391304347826087,6,Early Anchor & Deep Dive,"Make a digital simulation/AI model to optimise the process, maximising profit and minimising the uncontrollability and risk involved. Deliver the data to consumers so they can adjust their consumption patterns to use more local produce."
35213,PS4,0.2142857142857142,0.3214285714285713,0.6666666666666667,3,Parallel Pathways,Banning any form of tuition in the country coupled with providing higher salary for public teachers in order to attract more talents into the industry.
34813,PS2,0.015390534821085,0.0442477876106194,0.3478260869565218,3,Sequential Replace,get alternatives of materials that are vulnerable to supply chain issues.
35042,PS6,0.1029537671232877,0.2031250000000001,0.5068493150684932,3,Parallel Pathways,"Make showering a game. There will be speakers installed as part of the shower, and you have to sing as part of this game. If you cross 20 minutes then you will get all of the points and you are competing with your friends to see who has the most points every day / week / month. And if you get enough points, then you can get a voucher for a massage or something else that is beneficial to your health."
35836,PS6,0.1134417808219178,0.1562500000000001,0.726027397260274,6,Parallel Pathways,Advertisments from the influential online figures and some consumer goods reminding them of the good feelings of singing. Advertise the benefits and advantages of singing in the shower. Places that people can gather to do this together. Play fasion music in the bathroom. Waterproof phone suits or cost-effective speakers that can withstand the steam condition in a bathroom. Some slogan about this or public campaign.
36473,PS6,0.021404109589041,0.0625,0.3424657534246575,6,Early Anchor & Deep Dive,inbuilt music in shower rooms and with an inscription turn me on. this is effective
36321,PS2,0.202000769526741,0.2212389380530973,0.9130434782608696,6,Parallel Pathways,apply automation system to bring some efficiency; use more robots to reduce possible errors made by human labor; optimize schedule according to the supply chain status;
36204,PS6,0.0706335616438356,0.1562500000000001,0.4520547945205479,3,Early Anchor & Deep Dive,"1)Make regulations that every bathroom is soundproof so that people would be sure no one hears them singing. 
 2)Install a karaoke/sound machine in every bathroom that would activate the shower only when you are singing. (PS: It will also save water)."
34612,PS5,0.0306122448979591,0.8571428571428571,0.0357142857142857,6,Divergent–Convergent Funnel,- Neurostimulating gas that you can get addicted to while you are working
34677,PS3,0.1048951048951048,0.5769230769230769,0.1818181818181818,3,Early Anchor & Deep Dive,A device that shocks you as soon as you are about to say sorry. This could be based on neural processing or an LLM type model
